Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
l0,1.1048E-05,2.819E-05,0.017652,0,0,0,0.18582,7.8802E-05,-2.7139E-08,6.2215E-09,7.8857E-05,-1.1929E-08,0.0001443,0,0,0,0,0,0,package://u1_arm_description/meshes/l0.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://u1_arm_description/meshes/l0.STL,,DM-J4310-2EC-V1.1_3d_20260228_1-2;QD-U1-00001 J1电机固定板CV1.0-2,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1,-2.3989E-05,0.00072349,0.030262,0,0,0,0.23473,8.1407E-05,-1.5383E-09,-2.4428E-07,0.0001113,-1.6227E-08,7.4518E-05,0,0,0,0,0,0,package://u1_arm_description/meshes/l1.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://u1_arm_description/meshes/l1.STL,,超薄深沟球轴承6704ZZ-1;DM-J4340-2EC-V1.1_3d_20260325_1-1;QD-U1-00002 J2电机固定座CV1.0-2;QD-U1-00003 J2电机固定板CV1.0-1;QD-U1-00004 J2电机支撑板CV1.0-1,坐标系1,基准轴1,j1,revolute,0,0,0.059,0,0,0,l0,0,0,-1,0,0,-0.1745,1.7453,,,,,,,,
l2,0.18363,0.00079011,-0.038337,0,0,0,0.43737,5.4405E-05,2.9899E-09,-2.3792E-08,0.0035564,-6.766E-09,0.0035629,0,0,0,0,0,0,package://u1_arm_description/meshes/l2.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://u1_arm_description/meshes/l2.STL,,超薄深沟球轴承6704ZZ-2;QD-U1-00005 J2电机转轴CV1.0-1;QD-U1-00006 J2从动转轴CV1.0-1;QD-U1-00007 J2摆臂CV1.0-1;QD-U1-00008 J2从动臂CV1.0-2;QD-U1-00009 J2加强筋CV1.0-1;QD-U1-00009 J2加强筋CV1.0-2;QD-U1-00009 J2加强筋CV1.0-3;QD-U1-00009 J2加强筋CV1.0-4;QD-U1-00010 J2臂加强CV1.0-1;QD-U1-00011 J2臂顶部加强CV1.0-1;QD-U1-00012 J3 电机转轴CV1.0-1;QD-U1-00013 J3从动转轴CV1.0-1,坐标系2,基准轴2,j2,revolute,0,-0.038625,0.043,1.5708,-1.5708,0,l1,0,0,-1,0,0,-0.061087,1.6057,,,,,,,,
l3,0.15075,4.01E-06,-0.038068,0,0,0,0.50886,8.4845E-05,-4.6137E-07,2.6796E-08,0.0018411,-1.2049E-08,0.0018926,0,0,0,0,0,0,package://u1_arm_description/meshes/l3.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://u1_arm_description/meshes/l3.STL,,dm_3507_3d-241021-2;DM-J4310-2EC-V1.1_3d_20260228_1-1;QD-U1-00014 J3臂垫片CV1.0-1;QD-U1-00015 J3支撑臂CV1.0-4;QD-U1-00016 J3从动臂CV1.0-1;QD-U1-00017 J3加强筋CV1.0-1;QD-U1-00017 J3加强筋CV1.0-2;QD-U1-00018 J4从动转轴CV1.0-1,坐标系3,基准轴3,j3,revolute,0.35,0,0,0,0,3.1416,l2,0,0,1,0,0,-0.087266,3.1416,,,,,,,,
l4,0.064955,-0.044026,-0.024447,0,0,0,0.22821,6.995E-05,2.8266E-05,-5.5489E-07,0.00010129,8.8924E-07,0.00012107,0,0,0,0,0,0,package://u1_arm_description/meshes/l4.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://u1_arm_description/meshes/l4.STL,,dm_3507_3d-241021-3;QD-U1-00019 J4支撑臂CV1.0-3;QD-U1-00020 J5电机固定座CV1.0-2,坐标系4,基准轴4,j4,revolute,0.28,0,-0.0045,0,0,3.1416,l3,0,0,-1,0,0,-0.22689,3.8048,,,,,,,,
l5,0.029337,4.5147E-06,0.02637,0,0,0,0.096737,1.6629E-05,2.6201E-08,-1.4424E-07,0.00012712,3.7249E-09,0.00012739,0,0,0,0,0,0,package://u1_arm_description/meshes/l5.STL,1,1,1,1,0,0,0,0,0,0,package://u1_arm_description/meshes/l5.STL,,按压手指-1;奥比中光305双目-1,坐标系5,基准轴5,j5,revolute,0.08,-0.0261,-0.033,-1.5708,0,0,l4,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
